contract_id,worker_id,org_id,org_date,year,base_salary_lcu,gross_salary_lcu,net_salary_lcu,whours,country_code,country_name,adm1_name,adm1_code,start_date,end_date,paygrade,seniority,occupation_native,occupation_english,occupation_iscocode,occupation_isconame
1510,8822514357,SECRETARIA DE FINANÇAS-200104-2009,2008-09-02,2022,4292.45,9985.11,4311.66,44,BRA,Brazil,Alagoas,AL,1998-11-25,,H,999,professor,civil engineer,2221,Nursing Professionals
1365,2815918755,SECRETARIA DE EDUCAÇÃO-400210-2010,2019-04-04,2006,7614.39,5288.55,9356.16,44,BRA,Brazil,Alagoas,AL,2010-12-06,,H,ACSND40,engenheiro civil,teacher,,Mining and Quarrying Labourers
1382,4166161352,MINISTÉRIO DA SAÚDE-500312-2015,2009-07-04,2006,3315.23,9943.05,8627.8,35,BRA,Brazil,Alagoas,AL,2011-10-28,,D,FI2TC,adjunto administrativo,nurse,2320,Nursing Professionals
1322,3543347096,PROCURADORIA JUNTO AO TRIBUNAL DE CONTAS-301205-2012,2022-02-24,2008,5306.26,809.25,7420.46,44,BRA,Brazil,Alagoas,AL,2014-05-21,1654905600000000000,H,999,enfermeiro,nurse,,Nursing Professionals
1988,1727305261,SECRETARIA DE EDUCAÇÃO-400210-2010,2010-08-24,2003,5405.76,8563.84,4014.34,44,BRA,Brazil,Alagoas,AL,2018-10-07,,D,FI2TC,adjunto administrativo,teacher,2142,Civil Engineers
1098,1920034633,SECRETARIA DE FINANÇAS-200104-2009,2013-03-16,2014,5914.61,9545.77,4587.55,30,BRA,Brazil,Alagoas,AL,2014-11-07,,A,ACSND40,,administrative assistant,2142,Nursing Professionals
1742,7203009939,PROCURADORIA JUNTO AO TRIBUNAL DE CONTAS-301205-2012,2020-11-04,2009,6869.47,6796.01,6064.37,35,BRA,Brazil,Alagoas,AL,2018-12-26,,B,999,enfermeiro,teacher,2320,Civil Engineers
1017,4429215763,PROCURADORIA JUNTO AO TRIBUNAL DE CONTAS-301205-2012,2014-04-02,2020,4216.27,8989.29,8705.83,35,BRA,Brazil,Alagoas,AL,1993-01-16,1040774400000000000,H,,enfermeiro,civil engineer,2320,
1595,3781419593,PROCURADORIA JUNTO AO TRIBUNAL DE CONTAS-301205-2012,2006-01-25,2019,7610.19,8640.7,6992.25,44,BRA,Brazil,Alagoas,AL,2020-07-27,,D,,engenheiro civil,teacher,,Mining and Quarrying Labourers
1106,4357908025,SECRETARIA DE EDUCAÇÃO-400210-2010,2019-09-28,2006,891.22,5661.55,5059.35,20,BRA,Brazil,Alagoas,AL,2018-11-02,,G,999,,administrative assistant,2221,Civil Engineers
1123,8886660030,SECRETARIA DE FINANÇAS-200104-2009,2008-08-11,2002,6926.09,2857.54,9238.95,40,BRA,Brazil,Alagoas,AL,2008-08-24,,,ACSND40,,administrative assistant,2221,
1569,8077769310,PROCURADORIA JUNTO AO TRIBUNAL DE CONTAS-301205-2012,2019-01-26,2022,1872.97,1600.63,7990.91,35,BRA,Brazil,Alagoas,AL,1999-09-24,,F,AEM30E2,adjunto administrativo,nurse,2221,Nursing Professionals
1214,7756950945,PROCURADORIA JUNTO AO TRIBUNAL DE CONTAS-301205-2012,2001-09-27,2001,7941.28,841.71,2669.57,20,BRA,Brazil,Alagoas,AL,2009-11-24,,F,ACMNB30,adjunto administrativo,teacher,2142,
1737,1660583680,SECRETARIA DE FINANÇAS-200104-2009,2021-03-31,2011,1331.42,5025.48,7064.3,30,BRA,Brazil,Alagoas,AL,2013-11-27,,F,,professor,,2221,
1096,3362299119,MINISTÉRIO DA SAÚDE-500312-2015,2010-01-01,2013,7894.16,7091.85,1550.54,35,BRA,Brazil,Alagoas,AL,1990-01-18,,A,ACMNB30,engenheiro civil,teacher,,Mining and Quarrying Labourers
1113,6298819657,PROCURADORIA JUNTO AO TRIBUNAL DE CONTAS-301205-2012,2015-05-07,2000,5602.83,6218.46,7361.92,20,BRA,Brazil,Alagoas,AL,2016-12-30,,D,AEM30E2,professor,civil engineer,,Teaching Professionals
1638,4859848265,SECRETARIA DE FINANÇAS-200104-2009,2016-05-05,2021,5480.54,5184.06,5781.56,30,BRA,Brazil,Alagoas,AL,2012-02-29,,D,FI2TC,adjunto administrativo,teacher,2142,Teaching Professionals
1047,8450906210,PROCURADORIA JUNTO AO TRIBUNAL DE CONTAS-301205-2012,2021-09-03,2019,4424.2,9996.07,2682.63,30,BRA,Brazil,Alagoas,AL,1997-04-17,1177891200000000000,F,AEM30E2,adjunto administrativo,civil engineer,2221,Civil Engineers
1073,4446997339,MINISTÉRIO DA SAÚDE-500312-2015,2011-04-05,2005,7058.64,6929.34,1897.82,40,BRA,Brazil,Alagoas,AL,2013-02-26,,D,ACSND40,,administrative assistant,2142,Nursing Professionals
1544,8155091920,SECRETARIA DE FINANÇAS-200104-2009,2020-01-17,2004,6929.82,8791.1,1560.68,30,BRA,Brazil,Alagoas,AL,2005-03-31,,,FI2TC,,,9311,
1942,9094865009,PROCURADORIA JUNTO AO TRIBUNAL DE CONTAS-301205-2012,2016-10-16,2008,7019.67,7692.7,8793.78,35,BRA,Brazil,Alagoas,AL,2002-06-04,,D,ACSND40,enfermeiro,civil engineer,2221,Civil Engineers
1224,9949921870,PROCURADORIA JUNTO AO TRIBUNAL DE CONTAS-301205-2012,2001-09-05,2002,2546.45,4853.95,1785.03,40,BRA,Brazil,Alagoas,AL,1994-04-30,,F,ACSND40,professor,,2320,Nursing Professionals
1111,4001761973,SECRETARIA DE EDUCAÇÃO-400210-2010,2016-08-24,2022,1412.75,9331.07,4139.8,30,BRA,Brazil,Alagoas,AL,2017-06-22,,C,,,teacher,2221,Mining and Quarrying Labourers
1409,3394037509,PROCURADORIA JUNTO AO TRIBUNAL DE CONTAS-301205-2012,2016-08-09,2011,7474.62,1173.0,9186.6,20,BRA,Brazil,Alagoas,AL,1997-06-14,964396800000000000,E,ACSND40,enfermeiro,nurse,9311,Nursing Professionals
1339,4494838167,SECRETARIA DE FINANÇAS-200104-2009,2020-01-29,2003,3645.33,1186.89,5378.51,20,BRA,Brazil,Alagoas,AL,1993-09-02,,H,ADPMA0,enfermeiro,civil engineer,,Mining and Quarrying Labourers
1846,1521122977,MINISTÉRIO DA SAÚDE-500312-2015,2001-03-02,2021,1802.07,2308.21,8427.59,20,BRA,Brazil,Alagoas,AL,2016-05-10,,,ACSND40,enfermeiro,,2142,Teaching Professionals
1253,7022544793,PROCURADORIA JUNTO AO TRIBUNAL DE CONTAS-301205-2012,2022-03-08,2020,5403.85,4248.41,3654.52,40,BRA,Brazil,Alagoas,AL,1996-05-15,,E,ACMNB30,engenheiro civil,,9311,Teaching Professionals
1420,4824943330,SECRETARIA DE EDUCAÇÃO-400210-2010,2009-01-03,2002,3040.14,9655.85,7080.81,40,BRA,Brazil,Alagoas,AL,1991-11-27,,H,FI2TC,,civil engineer,2221,
1608,3355485384,MINISTÉRIO DA SAÚDE-500312-2015,2003-08-23,2012,2891.68,6397.75,1036.38,44,BRA,Brazil,Alagoas,AL,2002-11-19,,A,,,nurse,2142,Civil Engineers
1208,2946396607,MINISTÉRIO DA SAÚDE-500312-2015,2014-05-17,2004,3148.89,4979.57,8672.34,40,BRA,Brazil,Alagoas,AL,1996-08-02,,E,999,engenheiro civil,,2320,Nursing Professionals
1068,4530794661,SECRETARIA DE EDUCAÇÃO-400210-2010,2003-05-09,2009,3442.94,6235.37,4074.72,40,BRA,Brazil,Alagoas,AL,2007-04-04,,,,,,9311,Teaching Professionals
1817,2073590161,SECRETARIA DE EDUCAÇÃO-400210-2010,2021-08-08,2015,6297.51,4139.25,1371.24,35,BRA,Brazil,Alagoas,AL,2015-09-13,,E,ACSND40,professor,,,Mining and Quarrying Labourers
1823,5464607383,MINISTÉRIO DA SAÚDE-500312-2015,2012-12-22,2016,1202.55,8845.97,4525.95,30,BRA,Brazil,Alagoas,AL,1992-08-17,1513036800000000000,H,FI2TC,professor,teacher,9311,Civil Engineers
1451,2393265107,SECRETARIA DE EDUCAÇÃO-400210-2010,2012-09-15,2009,1071.93,5933.44,5255.88,35,BRA,Brazil,Alagoas,AL,2014-08-28,1447459200000000000,G,ACSND40,professor,teacher,2221,Teaching Professionals
1002,3018534897,PROCURADORIA JUNTO AO TRIBUNAL DE CONTAS-301205-2012,2005-02-17,2010,7206.16,4233.89,5841.96,44,BRA,Brazil,Alagoas,AL,1990-05-10,1205107200000000000,H,ACMNB30,professor,nurse,,
1340,1886955992,PROCURADORIA JUNTO AO TRIBUNAL DE CONTAS-301205-2012,2009-02-14,2021,882.26,3795.94,3016.72,44,BRA,Brazil,Alagoas,AL,2018-03-09,,B,FI2TC,engenheiro civil,teacher,,Nursing Professionals
1039,3888231641,SECRETARIA DE FINANÇAS-200104-2009,2010-05-23,2016,1560.14,6736.53,8961.42,44,BRA,Brazil,Alagoas,AL,2005-12-24,,,FI2TC,professor,civil engineer,2221,Nursing Professionals
1322,6876035200,PROCURADORIA JUNTO AO TRIBUNAL DE CONTAS-301205-2012,2013-03-30,2003,5660.03,8369.13,1592.35,35,BRA,Brazil,Alagoas,AL,2005-07-13,,C,AEM30E2,,nurse,2142,Mining and Quarrying Labourers
1596,4731008223,PROCURADORIA JUNTO AO TRIBUNAL DE CONTAS-301205-2012,2013-03-26,2018,672.0,7008.15,8259.03,35,BRA,Brazil,Alagoas,AL,2013-09-28,,C,999,engenheiro civil,,2320,
