"","CARREIRA","CARGO","occupation_native","occupation_english"
"1","ENGENHEIRO","ENGENHEIRO","engenheiro","engineer"
"2","ASSESSOR DE ADMINISTRACAO","ASSESSOR DE ADMINISTRACAO","assessor de administracao","administration advisor"
"3","DOCUMENTARISTA","DOCUMENTARISTA","documentarista","documentary filmmaker"
"4","AUXILIAR DE SERVICOS DIVE","AUXILIAR DE SERVICOS DIVE","auxiliar de servicos dive","uva services auxiliary"
"5","TECNICO DE PLANEJAMENTO","TECNICO DE PLANEJAMENTO","tecnico de planejamento","planning technician"
"6","ASSISTENTE DE ADMINISTRAC","ASSISTENTE DE ADMINISTRAC","assistente de administrac","administrac assistant"
"7","ARTIFICE","ARTIFICE","artifice","artifice"
"8","AUXILIAR ADMINISTRATIVO","AUXILIAR ADMINISTRATIVO","auxiliar administrativo","administrative assistant"
"9","OFICIAL DE APOIO TECNICO","OFICIAL DE APOIO TECNICO","oficial de apoio tecnico","technical support officer"
"10","PESQ INFORMACOES SOCIAIS","PESQ INFORMACOES SOCIAIS","pesq informacoes sociais","pesq social information"
"11","AGENTE ADMINISTRATIVO","AGENTE ADMINISTRATIVO","agente administrativo","administrative agent"
"12","TELEFONISTA","TELEFONISTA","telefonista","operator"
"13","MERENDEIRA","MERENDEIRA","merendeira","lunch box"
"14","COMANDANTE AVIADOR","COMANDANTE AVIADOR","comandante aviador","aviator commander"
"15","SUPERVISOR DE PROJETOS","SUPERVISOR DE PROJETOS","supervisor de projetos","project supervisor"
"16","ASSESSOR ESPECIAL","ASSESSOR ESPECIAL","assessor especial","special advisor"
"17","PROGRAMADOR","PROGRAMADOR","programador","programmer"
"18","VIGIA","VIGIA","vigia","vigine"
"19","ASSISTENTE LEGISLATIVO","ASSISTENTE LEGISLATIVO","assistente legislativo","legislative assistant"
"20","ASSESSOR SERVICOS ADMINIT","ASSESSOR SERVICOS ADMINIT","assessor servicos adminit","advisor servicos adminit"
"21","ARTIFICE RODOVIARIO","ARTIFICE RODOVIARIO","artifice rodoviario","highway artifice"
"22","OFICIAL DE ANAIS","OFICIAL DE ANAIS","oficial de anais","annals officer"
"23","ASSISTENTE DE SERVICOS AD","ASSISTENTE DE SERVICOS AD","assistente de servicos ad","ad assistant ad"
"24","MOTORISTA","MOTORISTA","motorista","driver"
"25","CORONEL","CORONEL","coronel","colonel"
"26","CABO","CABO","cabo","cable"
"27","CAPITAO","CAPITAO","capitao","captain"
"28","SEGUNDO TENENTE","SEGUNDO TENENTE","segundo tenente","lieutenant"
"29","SEGUNDO SARGENTO","SEGUNDO SARGENTO","segundo sargento","second sergeant"
"30","TERCEIRO SARGENTO","TERCEIRO SARGENTO","terceiro sargento","third sergeant"
"31","TENENTE CORONEL","TENENTE CORONEL","tenente coronel","lieutenant colonel"
"32","PRIMEIRO TENENTE","PRIMEIRO TENENTE","primeiro tenente","first lieutenant"
"33","PRIMEIRO SARGENTO","PRIMEIRO SARGENTO","primeiro sargento","first sergeant"
"34","SUB TENENTE","SUB TENENTE","sub tenente","subsidiary"
"35","MAJOR","MAJOR","major","major"
"36","SOLDADO PRIMEIRA CLASSE","SOLDADO PRIMEIRA CLASSE","soldado primeira classe","first class soldier"
"37","PROC. AUT. ESTAD 2 CLASSE","PROC. AUT. ESTAD 2 CLASSE","proc. aut. estad 2 classe","proc. aut. estad 2 class"
"38","ADJUNTO ADMINISTRATIVO","ADJUNTO ADMINISTRATIVO","adjunto administrativo","administrative assistant"
"39","PROC. AUT. ESTAD 1 CLASSE","PROC. AUT. ESTAD 1 CLASSE","proc. aut. estad 1 classe","proc. aut. estad 1 class"
"40","INSTRUT.APRENDIZAGEM PROF","INSTRUT.APRENDIZAGEM PROF","instrut.aprendizagem prof","instruct."
"41","ADVOGADO DE FUND 1 CLASSE","ADVOGADO DE FUND 1 CLASSE","advogado de fund 1 classe","fund lawyer 1 class"
"42","PROCURADOR DE ESTADO","PROCURADOR DE ESTADO","procurador de estado","prosecutor"
"43","TECNICO DE SANEAMENTO","TECNICO DE SANEAMENTO","tecnico de saneamento","sanitation technician"
"44","TECNICO SECRETARIADO","TECNICO SECRETARIADO","tecnico secretariado","secretarial technician"
"45","TEC EM ORG E SISTEMAS","TEC EM ORG E SISTEMAS","tec em org e sistemas","tec in org and systems"
"46","TECNICO DE CONTABILIDADE","TECNICO DE CONTABILIDADE","tecnico de contabilidade","accounting technician"
"47","CONTABILIDADE","CONTABILIDADE","contabilidade","accounting"
"48","CARGO EM COMISSAO","CARGO EM COMISSAO","cargo em comissao","commission"
"49",".G FUNCAO CONFIANCA",".G FUNCAO CONFIANCA",".g funcao confianca",".g function confidence"
"50","ATENDENTE DE ENFERMAGEM","ATENDENTE DE ENFERMAGEM","atendente de enfermagem","nursing attendant"
"51","MEDICO","MEDICO","medico","medical"
"52","ODONTOLOGO","ODONTOLOGO","odontologo","dental"
"53","ASSISTENTE SOCIAL","ASSISTENTE SOCIAL","assistente social","social worker"
"54","NUTRICIONISTA","NUTRICIONISTA","nutricionista","nutritionist"
"55","EDUCADOR ARTISTICO *","EDUCADOR ARTISTICO *","educador artistico *","artistic educator *"
"56","PSICOLOGO","PSICOLOGO","psicologo","psychologist"
